Subsystem 3	H: mean rel. freq. (%)	H: std. dev. (%)	NH: mean rel. freq. (%)	NH: std. dev. (%)	p-values	p-values (corrected)	Difference between means	95.0% lower CI	95.0% upper CI	Note	ERR1398068	ERR1398068: parent seq. count	ERR1398068: rel. freq. (%)	ERR1398076	ERR1398076: parent seq. count	ERR1398076: rel. freq. (%)	ERR1398077	ERR1398077: parent seq. count	ERR1398077: rel. freq. (%)	ERR1398085	ERR1398085: parent seq. count	ERR1398085: rel. freq. (%)	ERR1398168	ERR1398168: parent seq. count	ERR1398168: rel. freq. (%)	ERR1398221	ERR1398221: parent seq. count	ERR1398221: rel. freq. (%)	ERR1398078	ERR1398078: parent seq. count	ERR1398078: rel. freq. (%)	ERR1398089	ERR1398089: parent seq. count	ERR1398089: rel. freq. (%)	ERR1398129	ERR1398129: parent seq. count	ERR1398129: rel. freq. (%)	ERR1398206	ERR1398206: parent seq. count	ERR1398206: rel. freq. (%)	ERR1398257	ERR1398257: parent seq. count	ERR1398257: rel. freq. (%)	ERR1398263	ERR1398263: parent seq. count	ERR1398263: rel. freq. (%)	
CBSS-265072.7.peg.546	0.00161767255206	0.00156847720144	0.00491131697619	0.00232688489601	0.0282030290501	0.0282030290501	-0.00329364442413	-0.00614412781331	-0.000443161034949		1.0	62613.9999989	0.0015970869135	0.0	54430.0	0.0	1.0	55126.9999996	0.00181399314312	0.0	40585.0000001	0.0	1.0	62613.9999989	0.0015970869135	4.0	85145.0000002	0.00469786834223	3.0	54754.9999992	0.00547895169399	3.0	52990.9999993	0.00566133871797	2.0	32002.0000006	0.0062496093993	3.0	62699.0	0.00478476530726	3.0	41133.9999993	0.00729323673859	0.0	63475.9999994	0.0	
Phage capsid proteins	0.0221611915086	0.00716430397061	0.0126079945913	0.00343784770453	0.0304101367577	0.0304101367577	0.00955319691724	0.00119394134885	0.0179124524856		18.5	62613.9999989	0.0295461078997	11.5	54430.0	0.0211280543818	13.0	55126.9999996	0.0235819108606	8.5	40585.0000001	0.0209436984107	18.5	62613.9999989	0.0295461078997	7.0	85145.0000002	0.0082212695989	4.0	54754.9999992	0.00730526892532	8.5	52990.9999993	0.0160404597009	5.5	32002.0000006	0.0171864258481	6.0	62699.0	0.00956953061453	5.0	41133.9999993	0.0121553945643	8.5	63475.9999994	0.0133908878948	
"Cysteine Biosynthesis, MCB 432"	0.181996413217	0.0239445580209	0.217016098517	0.0195544368162	0.0305607439776	0.0305607439776	-0.0350196852997	-0.0659922777033	-0.00404709289602		124.3166667	62613.9999989	0.198544521516	92.53333333	54430.0	0.170004286845	86.97777778	55126.9999996	0.157777092497	61.16666667	40585.0000001	0.150712496415	124.3166667	62613.9999989	0.198544521516	184.25	85145.0000002	0.216395560514	120.5833333	54754.9999992	0.220223419417	124.9	52990.9999993	0.235700401958	61.5	32002.0000006	0.192175489028	154.8666667	62699.0	0.247000218026	81.58333333	41133.9999993	0.1983355213	132.45	63475.9999994	0.208661541372	
Pseudouridine Metabolism	0.0571842909859	0.0216224118434	0.0288312707023	0.0101108619828	0.0322878826455	0.0322878826455	0.0283530202835	0.00317364917935	0.0535323913877		52.33333333	62613.9999989	0.0835808818011	35.0	54430.0	0.0643027742054	22.0	55126.9999996	0.0399078491486	11.0	40585.0000001	0.027103609708	52.33333333	62613.9999989	0.0835808818011	38.0	85145.0000002	0.0446297492512	17.33333333	54754.9999992	0.031656165337	22.0	52990.9999993	0.0415164839318	4.5	32002.0000006	0.0140616211484	25.5	62699.0	0.0406705051117	8.5	41133.9999993	0.0206641707593	15.5	63475.9999994	0.0244186779257	
Glutamate transporter involved in acid tolerance in Streptococcus	0.00154768743869	0.00128858840176	0.00537040377449	0.00294384398724	0.0331303148729	0.0331303148729	-0.0038227163358	-0.00723631638966	-0.000409116281936		1.0	62613.9999989	0.0015970869135	0.0	54430.0	0.0	2.0	55126.9999996	0.00362798628624	1.0	40585.0000001	0.00246396451891	1.0	62613.9999989	0.0015970869135	0.0	85145.0000002	0.0	3.0	54754.9999992	0.00547895169399	2.0	52990.9999993	0.00377422581198	3.0	32002.0000006	0.00937441409895	0.0	62699.0	0.0	3.0	41133.9999993	0.00729323673859	4.0	63475.9999994	0.00630159430342	
Colanic acid biosynthesis	0.103619949918	0.0309042322212	0.064144778799	0.0119689287643	0.0347779909596	0.0347779909596	0.0394751711185	0.00383460091752	0.0751157413195		84.74090909	62613.9999989	0.135338596946	43.2	54430.0	0.0793679955906	37.25	55126.9999996	0.0675712445812	53.6797619	40585.0000001	0.132265028705	84.74090909	62613.9999989	0.135338596946	61.16666667	85145.0000002	0.0718382367372	35.7	54754.9999992	0.0651995251585	45.24358974	52990.9999993	0.0853797621117	15.29285714	32002.0000006	0.0477871918621	42.79166667	62699.0	0.0682493607075	21.84090909	41133.9999993	0.0530969735265	41.35833333	63475.9999994	0.0651558594278	
Legionaminic Acid Biosynthesis	0.0517052605479	0.00568657904511	0.0433436361936	0.00516893709898	0.0354715135095	0.0354715135095	0.00836162435435	0.0006947352127	0.016028513496		30.83333333	62613.9999989	0.0492435131609	33.83333333	54430.0	0.0621593483924	25.33333333	55126.9999996	0.045954492953	22.83333333	40585.0000001	0.0562605231735	30.83333333	62613.9999989	0.0492435131609	40.33333333	85145.0000002	0.0473701724469	22.66666667	54754.9999992	0.0413965239163	19.83333333	52990.9999993	0.0374277392959	15.16666667	32002.0000006	0.0473928712884	32.0	62699.0	0.0510374966108	18.83333333	41133.9999993	0.0457853195175	23.5	63475.9999994	0.0370218665326	
Widespread colonization island	0.0665465882856	0.0159151033104	0.0950132791781	0.0207229000977	0.036587458475	0.036587458475	-0.0284666908924	-0.0547399738553	-0.00219340792964		51.0	62613.9999989	0.0814514325884	19.0	54430.0	0.0349072202829	36.0	55126.9999996	0.0653037531523	30.0	40585.0000001	0.0739189355672	51.0	62613.9999989	0.0814514325884	53.0	85145.0000002	0.0622467555345	54.0	54754.9999992	0.0986211304919	54.0	52990.9999993	0.101904096923	42.0	32002.0000006	0.131241797385	44.0	62699.0	0.0701765578399	40.0	41133.9999993	0.0972431565146	45.0	63475.9999994	0.0708929359134	
Nitric oxide synthase	0.000647682654009	0.000114125501476	0.000921911688207	0.00021556976073	0.0376208143677	0.0376208143677	-0.000274229034199	-0.000528105266995	-2.03528014026e-05		0.333333333	62613.9999989	0.000532362303967	0.333333333	54430.0	0.000612407372772	0.333333333	55126.9999996	0.000604664380435	0.333333333	40585.0000001	0.000821321505481	0.333333333	62613.9999989	0.000532362303967	0.666666667	85145.0000002	0.00078297805743	0.666666667	54754.9999992	0.0012175448215	0.533333333	52990.9999993	0.0010064602159	0.333333333	32002.0000006	0.00104160156551	0.583333333	62699.0	0.000930371031436	0.333333333	41133.9999993	0.000810359636811	0.333333333	63475.9999994	0.000525132858093	
Plasmid replication	0.193132987949	0.0295315825008	0.15597752401	0.0144380766879	0.038223983802	0.038223983802	0.0371554639393	0.00264529607661	0.0716656318021		139.8333333	62613.9999989	0.223325986684	77.25	54430.0	0.141925408782	95.08333333	55126.9999996	0.172480514686	75.78333333	40585.0000001	0.18672744445	139.8333333	62613.9999989	0.223325986684	179.6666667	85145.0000002	0.211012586411	73.08333333	54754.9999992	0.133473350984	82.25	52990.9999993	0.155215036518	54.58333333	32002.0000006	0.170562256512	89.91666667	62699.0	0.143410049076	65.0	41133.9999993	0.158020129336	111.2	63475.9999994	0.175184321635	
Streptolysin S Biosynthesis and Transport	0.00174343195295	0.00111630506208	0.000304386205222	0.000680628246289	0.0383268020362	0.0383268020362	0.00143904574773	9.82359457867e-05	0.00277985554967		1.0	62613.9999989	0.0015970869135	0.0	54430.0	0.0	2.0	55126.9999996	0.00362798628624	1.0	40585.0000001	0.00246396451891	1.0	62613.9999989	0.0015970869135	1.0	85145.0000002	0.00117446708556	1.0	54754.9999992	0.00182631723133	0.0	52990.9999993	0.0	0.0	32002.0000006	0.0	0.0	62699.0	0.0	0.0	41133.9999993	0.0	0.0	63475.9999994	0.0	
Multiple Antibiotic Resistance MAR locus	0.00371552524311	0.00219953240775	0.000982265065785	0.00101358707212	0.0394548167679	0.0394548167679	0.00273326017732	0.00017453965663	0.00529198069802		2.0	62613.9999989	0.003194173827	4.0	54430.0	0.00734888848061	2.0	55126.9999996	0.00362798628624	2.0	40585.0000001	0.00492792903781	2.0	62613.9999989	0.003194173827	0.0	85145.0000002	0.0	0.0	54754.9999992	0.0	1.0	52990.9999993	0.00188711290599	0.0	32002.0000006	0.0	0.0	62699.0	0.0	1.0	41133.9999993	0.00243107891286	1.0	63475.9999994	0.00157539857585	
BlaR1 Family Regulatory Sensor-transducer Disambiguation	0.0309380961376	0.00834249401219	0.0194907514339	0.00733183803757	0.0443059443909	0.0443059443909	0.0114473447038	0.000355495567346	0.0225391938402		19.41666667	62613.9999989	0.0310101042424	18.08333333	54430.0	0.0332231	23.25	55126.9999996	0.0421753405775	13.76666667	40585.0000001	0.0339205782185	19.41666667	62613.9999989	0.0310101042424	12.16666667	85145.0000002	0.0142893495449	6.2	54754.9999992	0.0113231668343	15.58333333	52990.9999993	0.0294075094454	2.861111111	32002.0000006	0.00894041344587	14.75	62699.0	0.023525096094	10.25	41133.9999993	0.0249185588569	11.95238095	63475.9999994	0.0188297639267	
Fructose utilization	0.199094230329	0.0419657284272	0.265924268758	0.0496735900197	0.0450888533245	0.0450888533245	-0.0668300384285	-0.131872951502	-0.00178712535543		126.1666667	62613.9999989	0.201499132306	93.83333333	54430.0	0.172392675602	100.3333333	55126.9999996	0.182003978633	115.6190476	40585.0000001	0.284881230996	126.1666667	62613.9999989	0.201499132306	129.6666667	85145.0000002	0.152289232133	168.3333333	54754.9999992	0.307430067213	128.8333333	52990.9999993	0.243123045992	90.80882353	32002.0000006	0.283759838536	115.8333333	62699.0	0.184745104866	138.4166667	41133.9999993	0.336501839603	152.3333333	63475.9999994	0.239985716336	
"tRNA aminoacylation, His"	0.00964946713544	0.00136243852244	0.0074573528252	0.00166052008777	0.0465734361226	0.0465734361226	0.00219211431024	4.06907819382e-05	0.00434353783854		7.0	62613.9999989	0.0111796083945	4.75	54430.0	0.00872680507073	5.833333333	55126.9999996	0.0105816266676	3.25	40585.0000001	0.00800788468645	7.0	62613.9999989	0.0111796083945	7.0	85145.0000002	0.0082212695989	3.0	54754.9999992	0.00547895169399	4.5	52990.9999993	0.00849200807696	1.833333333	32002.0000006	0.00572880861498	4.5	62699.0	0.0071771479609	3.083333333	41133.9999993	0.00749582664719	6.583333333	63475.9999994	0.0103713739572	
Cell Division Cluster	0.0842665319786	0.0203075046636	0.0600181379386	0.0101541803398	0.0466358722661	0.0466358722661	0.02424839404	0.000470156011904	0.0480266320681		60.0	62613.9999989	0.0958252148099	58.23333333	54430.0	0.106987568124	49.45	55126.9999996	0.0897019609273	18.45	40585.0000001	0.0454601453738	60.0	62613.9999989	0.0958252148099	61.13333333	85145.0000002	0.0717990878265	34.15	54754.9999992	0.06236873345	38.54285714	52990.9999993	0.0727347231426	19.55833333	32002.0000006	0.0611159719069	42.36666667	62699.0	0.0675715189557	16.73333333	41133.9999993	0.0406800538005	35.31666667	63475.9999994	0.0556378263758	
CBSS-320372.3.peg.6046	0.00928126237548	0.00224623203832	0.00495865725588	0.00350105828622	0.0467541344128	0.0467541344128	0.0043226051196	7.79629970609e-05	0.00856724724213		5.833333333	62613.9999989	0.00931634032821	3.0	54430.0	0.00551166636046	4.333333333	55126.9999996	0.00786063695291	5.083333333	40585.0000001	0.0125251529703	5.833333333	62613.9999989	0.00931634032821	9.5	85145.0000002	0.0111574373128	3.666666667	54754.9999992	0.00669649651549	2.0	52990.9999993	0.00377422581198	0.0	32002.0000006	0.0	6.583333333	62699.0	0.010499901646	0.75	41133.9999993	0.00182330918465	4.416666667	63475.9999994	0.00695801037721	
CBSS-257314.1.peg.676	0.0450560010292	0.00635894314821	0.0326547925185	0.0100835684834	0.0468655122095	0.0468655122095	0.0124012085107	0.000216382233313	0.024586034788		29.75	62613.9999989	0.0475133356766	28.75	54430.0	0.0528201359544	19.75	55126.9999996	0.0358263645766	15.03333333	40585.0000001	0.037041599926	29.75	62613.9999989	0.0475133356766	42.25	85145.0000002	0.0496212343648	13.5	54754.9999992	0.024655282623	13.08333333	52990.9999993	0.0246897271804	15.0	32002.0000006	0.0468720704947	27.66666667	62699.0	0.0441261689501	8.5	41133.9999993	0.0206641707593	22.16666667	63475.9999994	0.0349213351034	
Quinone disambuiguation	0.00801481667625	0.00190648416101	0.0106567330317	0.00178141237816	0.0471569905336	0.0471569905336	-0.00264191635544	-0.00524351843055	-4.03142803248e-05		4.392857143	62613.9999989	0.00701577465595	6.333333333	54430.0	0.0116357400937	5.166666667	55126.9999996	0.00937229790672	2.833333333	40585.0000001	0.00698123280275	4.392857143	62613.9999989	0.00701577465595	5.166666667	85145.0000002	0.00606807994244	5.583333333	54754.9999992	0.0101969378743	5.916666667	52990.9999993	0.0111654180277	3.416666667	32002.0000006	0.0106764160582	8.75	62699.0	0.0139555654795	3.277777778	41133.9999993	0.00796853643715	6.333333333	63475.9999994	0.00997752431322	
Glutamine synthetases	0.0969945541767	0.0054293899738	0.0889590704438	0.00584304652977	0.0480955885348	0.0480955885348	0.00803548373295	8.17948797445e-05	0.0159891725862		63.3770202	62613.9999989	0.101218609578	53.93333333	54430.0	0.0990875130075	49.84880952	55126.9999996	0.090425398662	35.9015873	40585.0000001	0.0884602372796	63.3770202	62613.9999989	0.101218609578	86.470671	85145.0000002	0.101556956956	47.35	54754.9999992	0.0864761209035	43.99444444	52990.9999993	0.0830224838946	25.9047619	32002.0000006	0.0809473217284	59.75876623	62699.0	0.0953105571541	37.83730159	41133.9999993	0.0919854660151	60.94487734	63475.9999994	0.096012472967	
Polyprenyl Diphosphate Biosynthesis	0.0178641873811	0.00392282696908	0.0224666958919	0.0018884213414	0.0490818494907	0.0490818494907	-0.00460250851073	-0.0091808027001	-2.42143213567e-05		8.983333333	62613.9999989	0.0143471641057	8.983333333	54430.0	0.0165043787121	12.68333333	55126.9999996	0.0230074796925	9.583333333	40585.0000001	0.0236129933054	8.983333333	62613.9999989	0.0143471641057	13.08333333	85145.0000002	0.0153659443655	11.71666667	54754.9999992	0.0213983502332	11.08333333	52990.9999993	0.0209155013684	7.866666667	32002.0000006	0.0245817969716	12.83333333	62699.0	0.020468162698	10.48333333	41133.9999993	0.0254858105951	13.93333333	63475.9999994	0.021950553485	
Nudix KE	0.109665878161	0.010294870854	0.127455297497	0.0142651103622	0.0497809619464	0.0497809619464	-0.0177894193361	-0.0355577893202	-2.10493521354e-05		72.9	62613.9999989	0.116427635994	53.91666667	54430.0	0.099056892651	51.0	55126.9999996	0.0925136502991	45.66666667	40585.0000001	0.112521046372	72.9	62613.9999989	0.116427635994	103.0666667	85145.0000002	0.121048407657	78.46666667	54754.9999992	0.143305025425	74.65	52990.9999993	0.140872978432	33.16666667	32002.0000006	0.103639355882	72.53333333	62699.0	0.115684992313	51.4	41133.9999993	0.124957456121	86.5	63475.9999994	0.136271976811	
CMP-N-acetylneuraminate Biosynthesis	0.058724873057	0.0101475186099	0.0463155565388	0.00700794476448	0.0513647928222	0.0513647928222	0.0124093165182	-9.13218136148e-05	0.0249099548501		31.83333333	62613.9999989	0.0508406000744	25.83333333	54430.0	0.0474615714312	34.83333333	55126.9999996	0.0631874278126	31.16666667	40585.0000001	0.0767935608475	31.83333333	62613.9999989	0.0508406000744	53.83333333	85145.0000002	0.0632254781019	29.66666667	54754.9999992	0.0541807445356	20.16666667	52990.9999993	0.0380567769438	11.66666667	32002.0000006	0.0364560548396	30.0	62699.0	0.0478476530726	19.33333333	41133.9999993	0.0470008589739	34.5	63475.9999994	0.054351250867	
SCIFF peptide maturase system	0.0624275018435	0.0124650612052	0.0781238871744	0.00995512011885	0.0536992729614	0.0536992729614	-0.015696385331	-0.031698306348	0.000305535686034		39.0	62613.9999989	0.0622863896264	21.0	54430.0	0.0385816645232	33.0	55126.9999996	0.0598617737229	31.0	40585.0000001	0.0763829000861	39.0	62613.9999989	0.0622863896264	64.0	85145.0000002	0.0751658934757	48.0	54754.9999992	0.0876632271039	43.0	52990.9999993	0.0811458549576	20.0	32002.0000006	0.062496093993	50.0	62699.0	0.0797460884544	37.0	41133.9999993	0.089949919776	43.0	63475.9999994	0.0677421387617	
"Type 4 conjugative transfer system, IncI1 type"	0.0280727743128	0.0214069723487	0.00457178791348	0.00518995274935	0.0574320780852	0.0574320780852	0.0235009863993	-0.00104313668055	0.0480451094791		23.0	62613.9999989	0.0367329990105	3.0	54430.0	0.00551166636046	14.0	55126.9999996	0.0253959040037	26.0	40585.0000001	0.0640630774916	23.0	62613.9999989	0.0367329990105	0.0	85145.0000002	0.0	0.0	54754.9999992	0.0	2.0	52990.9999993	0.00377422581198	5.0	32002.0000006	0.0156240234982	1.0	62699.0	0.00159492176909	2.0	41133.9999993	0.00486215782573	1.0	63475.9999994	0.00157539857585	
Type 4 secretion and conjugative transfer	0.0448511732578	0.0328601279376	0.00903552585644	0.0077506500798	0.0587210710192	0.0587210710192	0.0358156474014	-0.00185975371156	0.0734910485144		16.0	62613.9999989	0.025553390616	19.0	54430.0	0.0349072202829	40.0	55126.9999996	0.0725597257248	42.0	40585.0000001	0.103486509794	16.0	62613.9999989	0.025553390616	6.0	85145.0000002	0.00704680251334	2.0	54754.9999992	0.00365263446266	2.0	52990.9999993	0.00377422581198	1.0	32002.0000006	0.00312480469965	4.0	62699.0	0.00637968707635	5.111111111	41133.9999993	0.0124255144433	15.77777778	63475.9999994	0.0248562886448	
