Subsystem 3	ERR1398068	ERR1398076	ERR1398077	ERR1398085	ERR1398168	ERR1398221	ERR1398078	ERR1398089	ERR1398129	ERR1398206	ERR1398257	ERR1398263
Alkanesulfonates Utilization	20.5	15.33333333	13	8	20.5	6	12.5	18	8	11.5	12	12.5
Alkylphosphonate utilization	28	28	23.5	11	28	17	19	22.5	12	18	12.5	13
Allantoin Utilization	18.10238095	8.319047619	7.614285714	7.721428571	18.10238095	10.79761905	5.269047619	8.166666667	3.878571429	8.533333333	7.05952381	5.211904762
Alpha-Amylase locus in Streptocococcus	13.33333333	2.666666667	9	5.666666667	13.33333333	15.66666667	14.33333333	12.83333333	5.5	11.33333333	8.166666667	12.83333333
Alpha-acetolactate operon	0	1	0.75	0	0	0	0.666666667	1.583333333	0	0	0	1.083333333
Amidase clustered with urea and nitrile hydratase functions	0	0	2	0	0	0	0	5	0	1	0	5
Amino acid racemase	8.885364635	8.958333333	7.78046953	3.88046953	8.885364635	7.153409091	6.408008658	8.769480519	3.108766234	8.656818182	5.524242424	7.191341991
Aminoglycoside adenylyltransferases	2	0	3	2	2	2	1	2	2	1	2	1
Ammonia assimilation	232.8722583	266.5	214.6416667	146.2075758	232.8722583	304.370671	229.8833333	238.2992063	138.8642857	273.3242424	167.3452381	251.261544
An Arabinose Sensor	1	0	0	0	1	1	0	0	0	1	0	0
Anaerobic Oxidative Degradation of L-Ornithine	4	6	2	5	4	9	6	5	1	4	0	1
Anaerobic benzoate metabolism	17.20192308	1	14	7	17.20192308	16	5	14	2	10.2	5.111111111	6.166666667
Anaerobic respiratory reductases	97.49015152	151.1484127	70.16944444	61.29134199	97.49015152	117.2984127	72.04444444	86.35793651	94.03162393	97.63333333	87.81608947	91.97777778
Archaeal lipids	1.368589744	1.625407925	1.162637363	1.5	1.368589744	0.25	0.399145299	1.683333333	0	1.60479798	0.5	0.802020202
Arginine Biosynthesis extended	202.7333333	187.1666667	157.6666667	114.4166667	202.7333333	283.3333333	165.8333333	156.75	109.8333333	215.5833333	156.4166667	205.6666667
Arginine Deiminase Pathway	84.16666667	86.5	72.5	35.41666667	84.16666667	108.3333333	63.5	78.5	39.83333333	57.08333333	50.41666667	59.16666667
Arginine and Ornithine Degradation	164.25	160.4	156.1788462	86.12619048	164.25	192.0666667	133.6371795	171.2928571	84.97289377	159.9166667	111.1993007	191.4
Aromatic Amin Catabolism	27.9	18.9	24.66666667	2.5	27.9	9	8	30.66666667	3	17	4.166666667	16
Aromatic amino acid degradation	17.33333333	23.47619048	25.16666667	13	17.33333333	21.5	16.33333333	29	7.5	22.16666667	7	20.83333333
Aromatic amino acid interconversions with aryl acids	49.08333333	58.7	49.2	45.75	49.08333333	109	28.89285714	38.2	48.2	75.5	45	75.75
Arsenic resistance	22	16.5	17	18.33333333	22	14	11.5	13.5	15.5	14.5	19.33333333	14
At1g01770	1	6	3	3	1	1	4	2	4	3	0	1
At1g14345	2.583333333	2.5	1	1.583333333	2.583333333	1.75	3.166666667	1.5	0	3.75	0.333333333	0.833333333
At1g21350	13.81666667	4.883333333	10.01666667	8.95	13.81666667	11.81666667	13.16666667	18.81666667	4.633333333	7.1	16.28333333	15.43333333
At1g24340	0.333333333	1	0	0	0.333333333	0	0	0.5	0	0	0	1.5
At1g26220 At1g32070	2.75	2.083333333	1.75	2.333333333	2.75	4.25	2	3.25	1	2.5	2.5	2.7
At1g33290 At1g73170 At3g10420	0	0	0	0	0	3	0	1	0	0	0	0
At1g48360	2.976190476	2	4	2.736111111	2.976190476	2	3	3.5	1.225	3	3.5	3.5
At1g54520	0.452380952	0.742857143	0.742857143	0.5	0.452380952	2.125	0.85	0.633333333	0.142857143	0.531746032	0.25	0.5
At1g69340 At2g40600	68.68333333	42.73809524	57.82142857	32.07619048	68.68333333	73.95	50.14285714	57.92857143	27.5	49.72619048	33.57619048	60.25
At2g23840	23.65	17.7	17.76666667	25.58333333	23.65	16.61666667	13.79166667	17.61666667	4.333333333	16.53333333	14.16666667	17.03333333
At2g25870	10.83333333	6.666666667	16.33333333	10	10.83333333	10.33333333	11.36666667	9.5	6.5	9.666666667	7.5	5.666666667
At2g33980 At1g28960	0	0	0	0	0	1	0	0	0	0	0	0
At3g21300	64.66666667	30.83333333	60.66666667	55.16666667	64.66666667	98.16666667	81.16666667	59.83333333	41.83333333	62.5	62.5	76
At3g50560	0	0.5	0	0	0	0	0	0	0	0.5	0	0
At4g10620 At3g57180 At3g47450	9.666666667	9.083333333	8.866666667	8.666666667	9.666666667	13.33333333	10.16666667	10.16666667	5.283333333	5.833333333	7.583333333	10
At5g04520 AT1G06240	37.83333333	18.5	26.95833333	22.14285714	37.83333333	33.66666667	26.41666667	21.58333333	10.05952381	25.58333333	11	34.14285714
At5g37530 (CsdL protein family)	211.2285714	146.7678571	153.3059524	86.60555556	211.2285714	288.1385281	162.1206349	172.3107143	80.21309524	161.672619	100.6357143	158.9230159
At5g63290	310.9452131	299.4884921	251.7305556	136.1857143	310.9452131	440.1678571	263.6539683	277.2361111	165.577381	345.7194444	157.7650794	288.9976551
Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)	15.66666667	26	37	14	15.66666667	21.66666667	20	29.66666667	22.66666667	33.66666667	21.33333333	26.33333333
Auxin degradation	0.125	0.236111111	0.361111111	0	0.125	0	0.333333333	1	0	0	0.125	0.2
B12 duf71	0.25	0.7	0	0	0.25	0	0	1	0	0	0.25	0
BEY LIP	268.0349567	247.4587302	207.4595238	129.8190476	268.0349567	362.6611111	199.2107143	205.1936508	113.6428571	258.9710317	117.9440837	243.4178322
Bacitracin Stress Response	37	37	30	31	37	47	40	29	24	36	44	33
Bacterial Caspases	0	0	1	0	0	0	0	0	1	1	0	1
Bacterial Cell Division	301.3925075	284.9428571	271.5453505	176.6829226	301.3925075	429.6462302	284.0015696	271.6292791	181.1959707	324.7477273	219.1209207	292.8651876
Bacterial Chemotaxis	133.3095238	108	109.3666667	121.2	133.3095238	143.8333333	182.9166667	177.9166667	92.4	85	67.41666667	96.18333333
Bacterial Cytoskeleton	228.2873737	196.9095238	199.9524933	131.3027639	228.2873737	314.0867063	219.8920458	193.5844988	125.7626374	228.0143939	170.0542541	255.7270924
Bacterial cyanide production and tolerance mechanisms	0	0	0	5.5	0	0	4.333333333	1	0	0	0	3.5
Bacterial hemoglobins	13.33333333	15.5	7.666666667	15	13.33333333	0.333333333	7.666666667	22	18.5	6.333333333	8.166666667	4.833333333
Bacterial motility:Gliding	63.91666667	41.66666667	59.16666667	46.72222222	63.91666667	94.25	44.83333333	61.33333333	49.41666667	71.5	47.22222222	73.58333333
Bacterial pathways for dimethylsulfoniopropionate and acrylate catabolism	0.30952381	0.7	1	2	0.30952381	0	0.25	1.166666667	0	0.5	0	2
Bacteriocins in Lactobacilli	0	0	0	0	0	0	0	0	0	0	1	1
Bacteroides capsular polysaccharide transcription antitermination proteins	23.5	5.5	19.5	19.5	23.5	32.5	9	13	7.5	19	13	15
Benzoate catabolism	0.776923077	1.75	2.5	0	0.776923077	0.5	0	2.333333333	1.5	1.5	0.5	4.25
Benzoate degradation	1.033333333	9.25	5	1.5	1.033333333	1	0	5.416666667	0	2	1	3.25
Benzoate transport and degradation cluster	1	3	0	0	1	0	0	2	0	0	0	0
Beta-Glucoside Metabolism	207.3937229	234.3333333	190.8544372	189.7921356	207.3937229	297.2	189.5924603	209.5166667	149.7053571	247.9869048	208.8452381	246.845671
Beta-lactamase	54.83333333	50.75	50	44.33333333	54.83333333	76.5	50.83333333	41.75	24	55.83333333	46.92424242	49.61111111
Beta-lactamase cluster in Streptococcus	0	0	0	2	0	0.5	1	0.25	0	2	0.5	0
Biflavanoid biosynthesis	1	2	0.5	0	1	1	1	1	0.5	2	0	1.5
Bilin Biosynthesis	0	0	0	0	0	0	0.5	0	0	0	0	0
Biofilm Adhesin Biosynthesis	7	13	11	10	7	0	12	17	0	1	5	8
Biofilm formation in Staphylococcus	0	0	0.333333333	0	0	0	1	0	0	0	0	0.333333333
Biogenesis of c-type cytochromes	102.9678571	116.331017	99.78412698	71.55965326	102.9678571	146.1761905	89.74522042	90.73571429	56.01666667	123.702381	81.68333333	115.0254329
Biogenesis of cbb3-type cytochrome c oxidases	2	0	0	0	2	0	1	0	0	1	1	0
Biogenesis of cytochrome c oxidases	3.5	3.5	3.5	0	3.5	0	2.5	3	0	2.5	0	1.5
Biotin biosynthesis	76.49557387	85.25394328	85.34993895	59.57857143	76.49557387	118.2555556	78.84636752	82.19166667	47.21190476	83.81594517	61.14606782	99.73134921
Biotin synthesis & utilization	224.2186508	189.5511294	205.3781496	144.2123377	224.2186508	338.5829365	216.238431	183.2527778	109.1957283	327.3067821	182.2873377	282.0405123
Biphenyl Degradation	3.625	0.833333333	1	1.291666667	3.625	2	2.75	0	0.125	2.285714286	1	1.25
BlaR1 Family Regulatory Sensor-transducer Disambiguation	19.41666667	18.08333333	23.25	13.76666667	19.41666667	12.16666667	6.2	15.58333333	2.861111111	14.75	10.25	11.95238095
Branched-Chain Amino Acid Biosynthesis	396.3873016	332.5095238	372.9742424	240.5638889	396.3873016	487.8416667	380.8333333	328.6459707	224.5333333	364.65	242.0928571	394.3242424
Broadly distributed proteins not in subsystems	14	17	5.5	12.25	14	11	17	19.25	3	9	6.5	12.25
Butanol Biosynthesis	74.72382062	58.19362582	57.69974054	47.05427489	74.72382062	80.4218254	49.43644689	54.65238095	43.41984862	55.59011544	44.81190476	74.82582973
C jejuni colonization of chick caeca	0	0	1	0	0	0	0	0	1	0	0	0
CBSS-100226.1.peg.2266	7	15	6	9	7	19	9	5	7	15	8	13
CBSS-176299.3.peg.235	8	12	8	5	8	32	16	11	3	21	8	10
CBSS-176299.4.peg.1292	23.28333333	21.15	23.78333333	24.9	23.28333333	31	35.66785714	25.84166667	21.26666667	20.50952381	40.74285714	27.61746032
CBSS-194948.1.peg.143	10	11.5	2	11.5	10	0	0	1	0	1	11	0
CBSS-196164.1.peg.1690	6	9	14	3	6	3.333333333	5.5	12	3	7	4	5.333333333
CBSS-196164.1.peg.461	24.75	23.33333333	21.5	16.16666667	24.75	28.25	29.25	20	11.53333333	22.5	15	23.5
CBSS-198094.1.peg.4426	0	0	0	0	0	1	0	0	0	0	0	0
CBSS-203122.12.peg.188	16	9	7	10	16	10	6	14	4	9	3	17
CBSS-205914.5.peg.1403	0	0	0	6	0	0	1	6	0	0	0	0
CBSS-205922.3.peg.1809	0	1	0	0	0	0	1	3	0	1	0	1
CBSS-211586.1.peg.2357	2.833333333	3.5	7	2.111111111	2.833333333	0	3	5	0.333333333	0	2	4.5
CBSS-211586.1.peg.3133	2.25	3.666666667	6.833333333	1.333333333	2.25	0.333333333	1	4.333333333	0	2.75	0	1.583333333
CBSS-216592.1.peg.3534	13.33333333	3	3.5	9.5	13.33333333	0.5	2.5	5	0.090909091	0.5	3.5	1
CBSS-216592.1.peg.3937	24.76666667	51.59285714	46.33333333	7.642857143	24.76666667	6	21	70.08333333	2.142857143	14.33333333	23.16666667	30.33333333
CBSS-222523.1.peg.1311	7.5	2	5	4	7.5	7	7	1	1	5	7	6
CBSS-243265.1.peg.198	49.79209957	35.83333333	31.52424242	27.23095238	49.79209957	67.5	40.09285714	30.16666667	16.97619048	47.41666667	21.02424242	40.63571429
CBSS-246196.1.peg.364	21.07738095	28.31545122	18.63406593	18.84285714	21.07738095	28.93452381	17.63724054	17.13174603	10.76666667	20.22582973	14.5	19.91114719
CBSS-257314.1.peg.488	32.8	32.16666667	35.36515152	21.26551227	32.8	53.61666667	23.90833333	27.45	21.28535354	44.58452381	27.61590909	43.92424242
CBSS-257314.1.peg.676	29.75	28.75	19.75	15.03333333	29.75	42.25	13.5	13.08333333	15	27.66666667	8.5	22.16666667
CBSS-258594.1.peg.3339	128.7742424	98.61666667	133.4519231	165.1297619	128.7742424	217.125	142.0333333	99.24358974	82.70952381	190.9583333	114.0844988	209.3583333
CBSS-261594.1.peg.788	0.333333333	0.5	0	0	0.333333333	0	0	0	0	0.5	0	0
CBSS-262316.1.peg.2929	0	0	0	0	0	0	1	0	0	0	0	1
CBSS-262719.3.peg.410	57.41666667	15.76666667	44.85	44.71666667	57.41666667	68.36666667	68.8	61.43333333	39.03333333	41.38333333	71.05	69.01666667
CBSS-265072.7.peg.546	1	0	1	0	1	4	3	3	2	3	3	0
CBSS-269482.1.peg.1294	8.833333333	10.16666667	6.166666667	4.166666667	8.833333333	9.666666667	12.16666667	9.166666667	2.833333333	6.833333333	7.333333333	14.5
CBSS-269799.3.peg.2220	0	0	0	0	0	0	0	4	0	0	0	0
CBSS-269801.1.peg.2186	0	3.333333333	1.333333333	0.5	0	0	2	1.166666667	0	1.033333333	0.333333333	0.333333333
CBSS-279010.5.peg.3195	0	0	0.333333333	0.5	0	0.25	0.25	0	0	0	0.75	0.25
CBSS-281090.3.peg.464	77.71666667	72.25	76.39848485	44.01551227	77.71666667	104.1166667	65.325	67.2	36.06868687	92.83452381	39.4254329	85.59090909
CBSS-288000.5.peg.1793	0	0	0	0	0	1	0	0	0	0	0	0
CBSS-292415.3.peg.2341	0.25	8.5	0.75	3	0.25	0.833333333	4.5	5.25	0.333333333	4.75	1.75	0.75
CBSS-314267.3.peg.390	0.833333333	0	0	0	0.833333333	0	0	0	0	0	0	0
CBSS-316057.3.peg.1308	12.41666667	10.5	10.16666667	10.16666667	12.41666667	6.916666667	10.66666667	7	0.333333333	12.75	9.5	8.416666667
CBSS-316057.3.peg.563	2.5	2	0.5	1	2.5	0.333333333	2.5	2.7	0.333333333	0.833333333	3	0.5
CBSS-316057.3.peg.659	6	12	16	6	6	16	9	11	5	9	3	8
CBSS-316275.9.peg.382	1	4	2	1.333333333	1	0	3	3	0	1	0	1
CBSS-316407.3.peg.1371	2.166666667	0.5	2.083333333	5.833333333	2.166666667	2.166666667	2.333333333	2	1.333333333	1.833333333	3.166666667	0.833333333
CBSS-318161.14.peg.2599	0.916666667	0.625	1.625	1	0.916666667	0	1	1.333333333	0	0.5	0.75	2.25
CBSS-320372.3.peg.6046	5.833333333	3	4.333333333	5.083333333	5.833333333	9.5	3.666666667	2	0	6.583333333	0.75	4.416666667
CBSS-320388.3.peg.3759	2.517857143	2.033333333	2.583333333	1.783333333	2.517857143	2.892857143	1.908333333	3	1.083333333	1.583333333	1.5	1.566666667
CBSS-323098.3.peg.2823	1	3.833333333	3	1.666666667	1	2.333333333	2.333333333	2.333333333	3.666666667	1	2	2
CBSS-323850.3.peg.3142	0	1	0	0	0	0	0	0	0	0	0	0
CBSS-323850.3.peg.3269	2.5	6.333333333	6.333333333	5.833333333	2.5	0	5.666666667	8.833333333	0	4.666666667	2.5	2.333333333
CBSS-323850.3.peg.3284	1	0	0	2	1	1	1	0	0	1	0	0
CBSS-326442.4.peg.1852	31.83333333	43.08333333	35.75	28.5	31.83333333	37.25	37	39.16666667	9.916666667	29.75	20.75	43.75
CBSS-342610.3.peg.1536	23.28333333	18.4	19.25	16.2	23.28333333	39.5	25.06666667	26.28333333	15	29.41666667	13.95	21.31666667
CBSS-342610.3.peg.283	9.25	3.583333333	8.666666667	22.25	9.25	17.36666667	11.75	10.75	4.25	11.16666667	18.2	15.91666667
CBSS-344610.3.peg.2335	1.333333333	2	7	0	1.333333333	0	0	0	0	1	2.333333333	1
CBSS-350688.3.peg.1509	104.2	118.1166667	82.23333333	52.24801587	104.2	158.1166667	80.48333333	77.86666667	28.7	90.16666667	36.53968254	71.6
CBSS-354.1.peg.2917	47.08333333	39.5	39.75	27.25	47.08333333	75.78333333	42.25	37.45	22.48333333	49.75	37.75	49
CBSS-393121.3.peg.2760	562.9833333	363.6666667	440.8303571	284.5075758	562.9833333	737.625	387.5690476	436.5	314.1666667	504.7833333	322.4880952	491.7670996
CBSS-393130.3.peg.794	18.13333333	15.36666667	11.26904762	9.586904762	18.13333333	27.83333333	9.65	8.983333333	7.142857143	15.33333333	12.54444444	12.92777778
CBSS-49338.1.peg.459	161.5	117.5	147	170	161.5	207.5	139.5	134.5	178.5	124.5	118	175.5
CBSS-498211.3.peg.1514	5	9	6.25	8	5	3	9	12.07142857	2	4.333333333	1.090909091	0
CBSS-502800.3.peg.2785	0	1.333333333	2.583333333	0	0	0	0	2.083333333	0	2	0	2.583333333
CBSS-56780.10.peg.1536	39.53333333	26.7	37.98333333	32.44166667	39.53333333	63.5	36.48333333	40.78333333	21.5	44.28333333	42.53333333	54.10833333
CBSS-584.1.peg.841	2.333333333	12	4	1	2.333333333	0	1	10	0	3	3	2.5
CBSS-83331.1.peg.3039	77.79835165	69.94285714	77.09090909	72.21618382	77.79835165	114.760119	88.18293651	65.11349206	58.22619048	96.5004329	77.97644023	95.72738095
CBSS-84588.1.peg.1247	64.12619048	63.8202381	62.40238095	51.21626984	64.12619048	91.45281385	61.01349206	56.20952381	45.20119048	55.82738095	55.78333333	60.88730159
CBSS-89187.3.peg.2957	24.16666667	17.83333333	23.66666667	15.83333333	24.16666667	35.33333333	31.5	21.33333333	10.66666667	27.5	21.66666667	29.66666667
CFE Sulfur Oxidation	0	0	0	0	0	0	0	0	0	1	0	0
CLO thiaminPP biosynthesis	16.93281025	8.540873016	18.43988095	11.39920635	16.93281025	13.95992063	8.69265873	15.51587302	5.356547619	14.33336941	7.579004329	14.14166667
CMP-N-acetylneuraminate Biosynthesis	31.83333333	25.83333333	34.83333333	31.16666667	31.83333333	53.83333333	29.66666667	20.16666667	11.66666667	30	19.33333333	34.5
CO Dehydrogenase	0	0	0	0	0	0.5	0	0	0	0	0	0
"CO2 uptake, carboxysome"	15.41666667	26	20.06666667	2.142857143	15.41666667	30.91666667	24.33333333	16	9	26.5	6.25	12.75
COG0277	5.25	4.95	3.75	3.366666667	5.25	4.75	5.1	4.783333333	1	5.033333333	2	3.666666667
COG1836	7.066666667	2.9	5.421428571	7.188095238	7.066666667	5.75	6.621428571	6.791666667	1.7	6.708333333	4.476923077	5.814285714
COG2363	10.02229437	13.85595238	11.92380952	9.045634921	10.02229437	7.713528139	9.331746032	11.33095238	0.976190476	8.177380952	4.561111111	9.141666667
CRISPR-associated cluster	3.5	0	1	0.125	3.5	0	3	1.75	0	0.5	2.25	6.7
CRISPRs	122.85	84	112.625	99.65833333	122.85	104.8333333	118.5	57.25	58.51515152	118	86.48333333	114.8583333
CXXX repeat peptide maturase system	0	0	0	0	0	2	0	0	0	2	0	2
Cadmium resistance	16	7	6.5	7.833333333	16	16	16	15.83333333	4	19	15.83333333	16.33333333
Calvin-Benson cycle	138.34329	159.5020202	134.1154762	106.7587662	138.34329	236.2083333	112.2928571	133.7666667	93.36904762	136.8484127	72.77619048	132.7138889
Calvin-Benson-Bassham cycle in plants	0	0	0	0	0	1	0	0	0	0	0	0
Campylobacter Iron Metabolism	89.25119048	71.25757576	68.00753968	87.42424242	89.25119048	117.2083333	74.22738095	66.61666667	55.63571429	72.17619048	56.23571429	85.76666667
Capsular Polysaccharide (CPS) of Campylobacter	0.5	0	0	0.666666667	0.5	0	0	0.5	0.5	0.5	1.333333333	0
Capsular Polysaccharides Biosynthesis and Assembly	28.24090909	29.2	31.02692308	34.24642857	28.24090909	36.16666667	20.7	36.74358974	11.54285714	39.79166667	34.17424242	36.05833333
Capsular heptose biosynthesis	47.83333333	26.33333333	46.83333333	36.33333333	47.83333333	70.33333333	58.5	62	41	40.5	25.33333333	53.16666667
Capsular surface virulence antigen loci	4	1	3	7	4	0	2	2	12	1	3	1
CarD	133.347619	111.2833333	109.6119048	77.05555556	133.347619	202.2357143	140.2940476	110.725	59.76174242	140.8873016	78.29820545	125.1571789
Carbon Starvation	127.0625	114	102.4333333	66.91666667	127.0625	181	123	111.5	53.66666667	123	72.75	120.3333333
Carbon monoxide dehydrogenase maturation factors	0	0	0	0	0	0.5	0	0	0	0	0	0
Carbon monoxide induced hydrogenase	72.83333333	77	18.33333333	51.75	72.83333333	92	46	27.33333333	6	64	68.16666667	63
Carnitine Metabolism in Microorganisms	7	5	6	2	7	0	0	0	1	3	8	0
Carotenoid biosynthesis	0	0	0	0	0	0.5	0	0	0	0.5	0	0
Carotenoids	0	0	0	0	0	0.5	0	0	0	0.5	0	0
Catechol branch of beta-ketoadipate pathway	6.7	2.916666667	5.916666667	4	6.7	3.333333333	1.666666667	6.783333333	6	2.666666667	1.2	5.916666667
CbiZ Main	2.75	1.7	5.166666667	1.083333333	2.75	0	1.2	1.5	0	0	1.583333333	0.533333333
Cell Division Cluster	60	58.23333333	49.45	18.45	60	61.13333333	34.15	38.54285714	19.55833333	42.36666667	16.73333333	35.31666667
Cell Division Subsystem including YidCD	195.2586691	144.1166667	123.865812	116.3237845	195.2586691	283.4527778	151.55	124.6254079	78.37619048	192.7746753	127.4936869	188.2834055
Cell division cluster containing FtsZ and FtsW	0	0	0.5	0	0	0	0.75	0	0	0	0	0
Cell division-ribosomal stress proteins cluster	244.4567571	208.1166667	196.3261905	117.765873	244.4567571	302.2357143	201.4869048	186.8345238	119.7134921	223.6861111	146.9575758	203.2595238
Cell envelope-associated LytR-CpsA-Psr transcriptional attenuators	25.08333333	18.03333333	17.95	14.75	25.08333333	19.83333333	15	16	11.33333333	13.54285714	22.53333333	25.9
Cellulosome	156.997619	95.33333333	202.0027237	195.1220751	156.997619	313.6428571	169.8682651	111.2005051	108.4657107	216.9166667	175.1511905	246.15
Central meta-cleavage pathway of aromatic compound degradation	9.679166667	14.39285714	12.6	6.679166667	9.679166667	2.642857143	3.5	17.98333333	1.829166667	3.95	6.2	13.58333333
Chitin and N-acetylglucosamine utilization	162.3373737	97.81666667	170.3029762	159.6972944	162.3373737	245.9857143	140.447558	146.5408231	124.7595238	167.5702381	150.3995893	212.0213786
Chitobiose	1.333333333	3.5	4.833333333	0.5	1.333333333	0	2.5	4.5	2	0	0.333333333	0
Chloroaromatic degradation pathway	3.166666667	2.424242424	4.333333333	0.666666667	3.166666667	2	0.666666667	3.277777778	0.666666667	2.902777778	0	2.444444444
Chlorobenzoate degradation	1.2	0.333333333	0.333333333	0	1.2	0.333333333	0	0.916666667	0.333333333	0	0	0.5
Chlorophyll Biosynthesis in plants and prokaryotes	0	0	1	0	0	0	0	0	0	0	1	0
Choline Transport	0.25	6	6.5	10	0.25	3.5	7	1.5	3	4	4	1.5
