Subsystem 2	ERR1398068	ERR1398076	ERR1398077	ERR1398085	ERR1398168	ERR1398221	ERR1398078	ERR1398089	ERR1398129	ERR1398206	ERR1398257	ERR1398263
DNA polymerase III epsilon cluster	23.28333333	18.4	19.25	16.2	23.28333333	39.5	25.06666667	26.28333333	15	29.41666667	13.95	21.31666667
DNA recombination	86.35	100.6333333	77.55	37.58333333	86.35	161.6333333	82.43333333	89.86666667	50.01666667	106.75	39	75.8
DNA repair	2388.732226	2174.478968	2056.102525	1449.612313	2388.732226	3257.71627	2091.460292	1980.700549	1152.881854	2472.434127	1610.156568	2336.71176
DNA replication	1355.945041	1126.12619	1147.229687	865.6426009	1355.945041	1775.23254	1142.348853	1087.916023	651.9182572	1367.060462	826.3611156	1267.34311
"DNA uptake, competence"	389.9166667	231.1666667	320.4916667	191.9173993	389.9166667	530.4166667	343.6678571	233.0102564	201.7666667	330.5833333	257.9742424	362.881746
Dessication stress	12	24.5	10	4	12	0	1	16	0.333333333	3	13	0
Detection	6.293589744	5.5	6.392857143	2.916666667	6.293589744	2.5	2.642857143	3	0	3.75	0.944444444	3
Detoxification	196.05	197.3333333	188.3166667	121.75	196.05	295.5833333	203.0166667	212.3833333	82.33333333	218.15	138.25	223.3333333
Di- and oligosaccharides	1924.240343	1496.027453	1871.199098	1647.407912	1924.240343	2500.733009	1878.142	1713.315052	1044.093146	1994.087338	1705.156765	2227.474553
Electron accepting reactions	510.4770924	584.9896825	417.343254	249.2210539	510.4770924	723.9507937	429.8547619	390.0325397	357.1641636	481.7912698	319.2700577	435.0940476
Electron donating reactions	782.1500722	755.6150794	639.4145604	424.0623488	782.1500722	1129.27619	634.4554335	606.9492063	405.3907509	805.6956349	450.3530525	787.7480159
Electron transport and photophosphorylation	0	0	0	14	0	12	6	0	0	0	0	0
"Fage-related, replication"	0	0	0	6	0	0	1	6	0	0	0	0
Fatty acid metabolic cluster	21.07738095	28.31545122	18.63406593	18.84285714	21.07738095	28.93452381	17.63724054	17.13174603	10.76666667	20.22582973	14.5	19.91114719
Fatty acids	541.5194805	491.1857143	459.7265984	312.3909091	541.5194805	689.2833333	440.1	482.4333333	302.5075758	509.2928571	290.7468254	498.7353535
Fe-S clusters	34.95238095	56.44404762	43.08690476	27.00396825	34.95238095	66.00519481	40.33888889	48.36865079	16.63690476	47.77261905	25.8468254	31.17857143
Fermentation	668.2525405	541.5543873	579.7191239	401.3823954	668.2525405	845.7396825	549.6770424	573.7299423	374.9003425	563.9746753	409.9337052	641.17114
Fimbriae of the Chaperone/Usher Assembly Pathway	6	14	1	7	6	0	4	18	0	0	1.212121212	0
Flagella protein?	1	3.833333333	3	1.666666667	1	2.333333333	2.333333333	2.333333333	3.666666667	1	2	2
Flagellar motility in Prokaryota	286.1150794	145.9166667	189.9380952	166.9264402	286.1150794	338.7	258.5297619	269.4444444	129.95	179.2909091	164.0105922	203.9218615
Folate and pterines	664.5200216	618.1536971	576.7511905	404.8972137	664.5200216	735.3044012	562.7891145	584.0496392	320.0995421	634.8619048	445.550469	596.6630952
General Stress Response and Stationary Phase Response	5	9	8.666666667	8	5	13	8.25	8	5	5	8	10
"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation"	699.6401876	664.5833333	591.8011905	384.5036075	699.6401876	1001.074675	589.4333333	553.7865079	352.1373016	687.8508658	436.3246032	666.9326118
Gram-Negative cell wall components	527.4761905	450.5	439.9777778	408.7011905	527.4761905	703.3333333	454.25	463.3333333	193.5	554.3333333	368.1880952	586.2555556
Gram-Positive cell wall components	206.3833333	123.5833333	176.1333333	164.5666667	206.3833333	238.4285714	156.95	136.7833333	94.68333333	196.1833333	159.2833333	227.15
Heat shock	772.8737596	716.8103175	655.2277778	390.747619	772.8737596	1104.819048	659.5801587	656.9055556	395.8880952	845.1388889	420.4730159	760.8619769
Histidine Metabolism	406.4928571	380.2666667	316.7428571	199.5833333	406.4928571	589.8666667	359.9428571	356.5761905	197.3666667	419.25	240.8261905	366.6670996
Hypothetical associated with RecF	10.5	11.83333333	11.33333333	8.5	10.5	10.5	15.33333333	11.83333333	6.5	11.16666667	6	7.833333333
Hypothetical in Lysine biosynthetic cluster	2.5	6.333333333	6.333333333	5.833333333	2.5	0	5.666666667	8.833333333	0	4.666666667	2.5	2.333333333
Hypothetical lipase related to Phosphatidate metabolism	2.166666667	0.5	2.083333333	5.833333333	2.166666667	2.166666667	2.333333333	2	1.333333333	1.833333333	3.166666667	0.833333333
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	32.8	32.16666667	35.36515152	21.26551227	32.8	53.61666667	23.90833333	27.45	21.28535354	44.58452381	27.61590909	43.92424242
Inorganic sulfur assimilation	26	32.16666667	29.91666667	14.83333333	26	14.25	24.75	26.41666667	12.33333333	11.33333333	16.91666667	19.25
Invasion and intracellular resistance	11	5	5	7	11	12	7	5	2	8	4	5
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	77.79835165	69.94285714	77.09090909	72.21618382	77.79835165	114.760119	88.18293651	65.11349206	58.22619048	96.5004329	77.97644023	95.72738095
Isoprenoids	291.3594739	287.9329587	259.8764652	186.6705128	291.3594739	441.3222222	286.2875763	244.4855922	165.7003968	329.5354618	202.8456172	302.3816081
Lactate racemization	0	1	0	0	0	1	0	2	0	0	3	0
Lipoic acid	293.4651154	274.0571429	235.7373016	147.1904762	293.4651154	403.4444444	220.8297619	226.9063492	129.3396825	287.0535714	131.9433622	269.8034965
Lysine Biosynthesis	2	1.5	0.5	1	2	0	2.5	2.333333333	0	0.333333333	0.5	1.833333333
"Lysine, threonine, methionine, and cysteine"	2024.629002	1877.628197	1746.785852	1128.186079	2024.629002	2755.998846	1795.326404	1809.742857	1006.532777	2051.87583	1217.164971	1932.368254
Metabolism of central aromatic intermediates	113.9958333	87.70995671	108.7833333	51.37916667	113.9958333	105.4761905	81.11666667	115.1111111	42.10694444	80.11230159	45.43333333	104.8611111
Methylamine utilization	1	0	1	0	1	4	3	3	2	3	3	0
Mitochondrial electron transport system in plants	2	1	3.5	4.5	2	1	2.5	0	0	0	1	1.5
Molybdopterin oxidoreductase	0	0	0	0	0	0	0	4	0	0	0	0
Monosaccharides	2256.729773	1769.504762	2071.436801	1733.292496	2256.729773	3089.511111	1920.318013	1790.196434	1169.447388	2190.179798	1463.155084	2454.173435
NAD and NADP	309.7380952	289.0634921	276.6730159	177.5166667	309.7380952	446.5666667	286.6261905	252.3333333	148.6666667	328.8	183.3083333	282.4333333
Nucleotide sugars	0	0	0	0	0	0	0	1	0	0	0	0
Nucleotidyl-phosphate metabolic cluster	7.5	2	5	4	7.5	7	7	1	1	5	7	6
One-carbon Metabolism	424.7325147	303.6536472	355.4960068	291.6367779	424.7325147	549.7781746	376.889689	365.6888278	224.5921569	401.052417	291.2497835	437.3584416
Organic acids	206.7968365	232.166031	165.8468254	92.37810882	206.7968365	252.7142857	136.4697192	165.5809524	86.96190476	194.8380952	108.1826118	183.4992063
Organic sulfur assimilation	322.5785714	263.9345238	263.5142857	162.2198413	322.5785714	389.3718615	260.1808913	302.8107143	147.2964286	263.6892857	177.0145022	255.4805916
Osmotic stress	204.6666667	148.6666667	204.3333333	211.6666667	204.6666667	199.75	187.6428571	193.9761905	223	141.1666667	162.3333333	212.5166667
Oxidative stress	615.1147186	589.3706349	550.409127	375.8936508	615.1147186	801.7190476	543.95	563.3238095	289.9223039	589.6166667	381.9980519	591.281746
Pathogenicity islands	64.83333333	55.56666667	77.61666667	65.1	64.83333333	108.1166667	57.33333333	65.26666667	25.03333333	65.7	67.65	82.48333333
Peripheral pathways for catabolism of aromatic compounds	33.02973693	39.00636031	40.48684371	21.38376623	33.02973693	26.26785714	23.32057387	46.90952381	14.81590909	29.14209957	21.57063492	42.97622655
Periplasmic Stress	38.33333333	60.66666667	36.5	25.16666667	38.33333333	76	42	32	20.33333333	47.5	29.5	47
Phage Host Interactions	3	0	1	6.5	3	2	1	1	0	4	3	2
"Phages, Prophages"	314.7	273.3333333	183.25	240.8333333	314.7	201	148.25	151.0833333	139.3333333	186.75	180.6287879	242.5
Phospholipids	354.0910714	317.2464286	325.8031746	243.7811508	354.0910714	484.7095238	332.0758658	339.709596	191.1160714	346.3761905	303.0706349	375.8031746
Pigment biosynthesis	8	12	8	5	8	32	16	11	3	21	8	10
Plant Alkaloids	2.333333333	0.5	1.833333333	1.142857143	2.333333333	2.5	1.666666667	0	0.125	1.333333333	0	2
Plant Hormones	0.125	0.236111111	0.361111111	0	0.125	0	0.333333333	1	0	0	0.125	0.2
Plant-Prokaryote comparative genomics	1545.144228	1361.285046	1277.735317	750.5732387	1545.144228	2031.921663	1321.129951	1283.364286	656.8865079	1523.279365	759.4050977	1406.409127
Plastidial (cyanobacterial) electron transport system	0	0	3	1	0	1	1	0	0	0	0	0
Polysaccharides	591.0283841	421.9777778	574.1333874	474.8423604	591.0283841	888.2761905	607.8123488	497.9680375	349.7673341	669.0825758	525.5959457	717.8694444
Probably GTP or GMP signaling related	23.28333333	21.15	23.78333333	24.9	23.28333333	31	35.66785714	25.84166667	21.26666667	20.50952381	40.74285714	27.61746032
Probably Ybbk-related hypothetical membrane proteins	6	12	16	6	6	16	9	11	5	9	3	8
Probably organic hydroperoxide resistance related hypothetical protein	8.833333333	10.16666667	6.166666667	4.166666667	8.833333333	9.666666667	12.16666667	9.166666667	2.833333333	6.833333333	7.333333333	14.5
Programmed Cell Death and Toxin-antitoxin Systems	144.3333333	103.5	135.75	99	144.3333333	185	120.6666667	129.5833333	89.5	114	96.5	136.5833333
Proline and 4-hydroxyproline	186.6166667	176.7416667	155.3244811	131.2599567	186.6166667	227.9666667	151.4538462	178.302381	92.83162393	178.3595238	129.1319597	183.0123016
"Protein and nucleoprotein secretion system, Type IV"	124.9083333	85.08333333	104.116342	79.33660131	124.9083333	146.8666667	86.26785714	81.37424242	55.3004329	99.56666667	65.57619048	98.43849206
Protein biosynthesis	4366.144886	3729.344048	3637.35377	2397.55156	4366.144886	6287.611706	3637.063431	3443.530159	1788.553806	4264.565873	2523.899692	4363.10855
Protein degradation	791.2166167	659.6651515	677.3218254	521.8202381	791.2166167	1137.268488	732.1439866	644.3972583	392.6752345	835.5027778	574.6548341	788.8119769
Protein export?	562.9833333	363.6666667	440.8303571	284.5075758	562.9833333	737.625	387.5690476	436.5	314.1666667	504.7833333	322.4880952	491.7670996
Protein folding	372.8058303	359.1004329	321.4753968	220.4206349	372.8058303	544.4170996	285.7070818	299.5377345	154.4044012	402.2884921	230.7674964	346.2545094
Protein processing and modification	422.7928571	297.677381	366.2833333	325.5428571	422.7928571	689.15	365.7428571	319.1	225.0166667	427.2333333	323.1833333	447.8761905
"Protein secretion system, Chaperone-Usher pathway (CU)"	35	13	18	19.66666667	35	0	4	23	1.166666667	4	27.11111111	13.11111111
"Protein secretion system, Type II"	62.5	34	66	36	62.5	53	54	74	42.5	46	46.5	52
"Protein secretion system, Type III"	1.111111111	5	6	1.111111111	1.111111111	0	2	7	0	1	0.111111111	3
"Protein secretion system, Type VI"	115.7527778	70.04090909	63.39920635	43.38095238	115.7527778	52.07424242	77.39285714	106.1706349	27.07821068	47.21944444	83.17460317	67.33535354
"Protein secretion system, Type VII"	5	0	5	6	5	2	8	5	2	2	1	10
"Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)"	1	0	3	0	1	0	0	3	0	1	1	1
Protein translocation across cytoplasmic membrane	7	14.5	7.5	6	7	24	10	10.5	3	11	9	10.33333333
Proteolytic pathway	0	0	1	0	0	0	0	0	0	0	3	1
Purines	1501.7421	1410.466667	1251.862698	941.2471001	1501.7421	2031.338095	1273.390873	1255.642771	874.4956349	1478.863095	967.9075331	1402.107021
Putative GGDEF domain protein related to agglutinin secretion	1	0	0	2	1	1	1	0	0	1	0	0
Putative Isoquinoline 1-oxidoreductase subunit	0.833333333	0	0	0	0.833333333	0	0	0	0	0	0	0
Putative asociate of RNA polymerase sigma-54 factor rpoN	12.41666667	10.5	10.16666667	10.16666667	12.41666667	6.916666667	10.66666667	7	0.333333333	12.75	9.5	8.416666667
"Putrescine/GABA utilization cluster-temporal,to add to SSs"	7.083333333	15.33333333	8	2	7.083333333	0	3.333333333	7.5	0	3.333333333	5.5	6.5
Pyridoxine	305.9908231	265.2412698	273.327381	161.9062271	305.9908231	412.525	254.3337302	243.9070208	156.5146825	286.9580087	158.546533	274.0930439
Pyrimidines	804.202356	809.1444444	714.9809524	460.8880342	804.202356	1175.725	694.6571429	703.0107143	422.9896825	842.1289683	492.3228938	767.6190476
Pyruvate kinase associated cluster	0	0	0	0	0	1	0	0	0	0	0	0
Quinone cofactors	131.1190476	163.3666667	121.3928571	66.76666667	131.1190476	145.8333333	126.1666667	123	56.33333333	176.8095238	79.08333333	140.0833333
Quorum sensing and biofilm formation	22.66666667	42	48.33333333	24	22.66666667	22.66666667	34	48.66666667	23.66666667	34.66666667	27.33333333	35.66666667
RNA processing and modification	2039.615841	1968.98953	1772.776249	1260.540462	2039.615841	2889.861057	1876.93681	1731.74561	1102.541306	2189.580028	1260.009571	1966.139617
Recombination related cluster	0	0	0	0	0	1	0	0	0	0	0	0
Regulation of virulence	2.333333333	8	5	3	2.333333333	2	5	11	1	1	3	5
Resistance to antibiotics and toxic compounds	1763.642613	1585.915476	1581.719075	1192.660542	1763.642613	2542.487969	1444.759625	1499.517372	916.8054806	1833.047511	1150.825033	1807.56155
"Riboflavin, FMN, FAD"	1118.583333	712.6952381	893.0166667	631.0666667	1118.583333	1353.533333	947.6928571	934.1166667	547.0928571	1049.166667	634.1261905	1055.909524
Ribosomal Protein L28P relates to a set of uncharacterized proteins	89.94880952	94.90634921	86.66190476	56.15833333	89.94880952	134.4440476	71.39404762	69.98571429	50.99365079	82.30753968	64.72777778	90.81785714
Ribosome-related cluster	2.5	7.083333333	4.75	1	2.5	3	8	9.416666667	1	2.333333333	3.25	8.75
Secretion	6.25	22	13	6.25	6.25	0	8	14	0.166666667	8	2.5	11
Selenoproteins	84.27662338	81.48333333	73.05	89.05681818	84.27662338	103.25	88.23333333	64.11904762	79.35238095	68.75	76.70238095	76.03571429
Shiga toxin cluster	10	11.5	2	11.5	10	0	0	1	0	1	11	0
Siderophores	68.43333333	114.7	75.41666667	17.5	68.43333333	1	37.33333333	99.83333333	4.5	44	30.875	45.33333333
Signal transduction in Eukaryotes	54.44801587	54.15238095	57.13376623	36.36666667	54.44801587	87.11071429	56.96865079	50.21785714	21.59722222	61.40238095	39.97272727	55.37698413
Social motility and nonflagellar swimming in bacteria	63.91666667	41.66666667	59.16666667	46.72222222	63.91666667	94.25	44.83333333	61.33333333	49.41666667	71.5	47.22222222	73.58333333
Sodium Ion-Coupled Energetics	60.63376623	47.99404762	54.65995671	38.45995671	60.63376623	111.0083333	56.45952381	48.30952381	48.75119048	63.69285714	34.93807026	65.1718254
Spore DNA protection	50	37.5	36	26.5	50	56.5	34.5	39	31	45.5	36	34.5
"Sugar Phosphotransferase Systems, PTS"	2	5	1	7	2	6	4	4	3	2	2	5
Sugar alcohols	354.5833333	372.1333333	338.75	300.352381	354.5833333	362.1666667	333.2	316.6	234.5921569	308	238.1166667	397.1166667
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	1	1.5	3.5	1.5	1	2.5	1.75	5.5	0.333333333	1.25	0.5	2.083333333
Superinfection Exclusion	1	0	0	0	1	0	0	2	0	0	1	0
TRAP transporters	2	3	6	2	2	7	4	5.5	1	4	0	3
Tetrapyrroles	539.2369048	450.3095238	528.5833333	421.1452381	539.2369048	862.1678571	500.927381	519.3666667	337.3380952	592.6833333	429.073088	669.6603175
Thiamin	25.38363997	18.36785714	19.94464286	14.80430403	25.38363997	31.42380952	25.18869048	19.81184371	7.250992063	27.18892496	15.05	32.66666667
TldD cluster	47.08333333	39.5	39.75	27.25	47.08333333	75.78333333	42.25	37.45	22.48333333	49.75	37.75	49
Toxins and superantigens	1	0	3	1	1	1	1	0	0	0	0	0
Transcription	872.3828505	790.7833333	720.0849567	452.652381	872.3828505	1189.252381	723.6845238	743.5269231	384.3384921	848.0119048	502.1649573	816.0778499
Translation	81.6254329	78.91666667	67.27424242	55.73095238	81.6254329	104.75	77.09285714	69.33333333	26.89285714	77.16666667	41.77424242	84.38571429
Transposable elements	419.3333333	324.8333333	394.9261905	345.0595238	419.3333333	800	261.8666667	236.8611111	268.7333333	593.7333333	152.2742424	430.4333333
Triacylglycerols	26.33333333	15.5	31	23.5	26.33333333	35.5	24.5	10.66666667	15.5	20.5	18.5	31.5
Tricarboxylate transporter	161.5	117.5	147	170	161.5	207.5	139.5	134.5	178.5	124.5	118	175.5
Two related proteases	29.75	28.75	19.75	15.03333333	29.75	42.25	13.5	13.08333333	15	27.66666667	8.5	22.16666667
"Type III secretion system, extended"	2	0	0	0	2	0	0	0	0	0	1	1
"Type III, Type IV, Type VI, ESAT secretion systems"	16	19	40	42	16	6	2	2	1	4	5.111111111	15.77777778
Uni- Sym- and Antiporters	54.5	55	41.5	49	54.5	79	39	40	17	74	38.5	70
Urate degradation	0	1	0	0	0	0	1	3	0	1	0	1
"clustering of 2 heat shock proteins, phosphoenolpyruvate carboxykinase and a putative hydrolase"	1.666666667	10.91666667	12.33333333	2.666666667	1.666666667	0	8	13.33333333	0	4.333333333	1.666666667	9.916666667
"heat shock, cell division, proteases, and a methyltransferase"	1.2	0	0.533333333	0	1.2	0	2	0	0	0.533333333	1	0.2
proteosome related	8.5	11.33333333	12.5	3	8.5	18	17.33333333	12	0.5	19	8.5	6.333333333
recX and regulatory cluster	0.333333333	0.5	0	0	0.333333333	0	0	0	0	0.5	0	0
tRNA sulfuration	24.16666667	17.83333333	23.66666667	15.83333333	24.16666667	35.33333333	31.5	21.33333333	10.66666667	27.5	21.66666667	29.66666667
